region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho
full_grid,1.0025,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19638237915904644,-0.8695754504175157,1.9868783861290549,0.16369421079312607,-0.004875038461607443,-0.8942728463417906
full_grid,1.069,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19673117381015115,-0.8569904627723142,2.0303921040359345,0.17270771616270975,-0.005599860492690499,-0.9432038685659343
full_grid,1.1355,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19712523206879995,-0.8448140289765602,2.0613824799698417,0.18055628790427192,-0.006237684578232025,-0.9912647649364297
full_grid,1.202,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1975590347878735,-0.8330684527900649,2.082018916308602,0.18734343550248056,-0.006796505205701062,-1.0385445840179504
full_grid,1.2685,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19802758875412108,-0.8217627459794106,2.0941534618574273,0.19317353624924571,-0.007284100438052372,-1.0851228309545082
full_grid,1.335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19852640470725813,-0.810896372140943,2.099346819597237,0.1981473060994261,-0.007707823136021221,-1.1310700757307166
full_grid,1.4015,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.1990514649112991,-0.8004620940627687,2.0989025350257773,0.20235920493723114,-0.008074489216648172,-1.1764487279363625
full_grid,1.468,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.19959918559569412,-0.7904481107884715,2.093902751079339,0.2058961321369277,-0.008390330551095905,-1.2213138657644607
full_grid,1.5345,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20016637775171153,-0.7808396433884401,2.0852420779949625,0.2088369578408249,-0.00866098940209083,-1.2657140528836506
full_grid,1.601,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20075020847937308,-0.7716200990742157,2.0736580003180656,0.21125257635803185,-0.008891538350614613,-1.3096921066697322
full_grid,1.6675,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20134816419366797,-0.7627719162638174,2.059757304541976,0.21320626958222966,-0.009086514816620315,-1.3532858000888746
full_grid,1.734,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20195801640340771,-0.7542771702290634,2.0440385774735166,0.2147542397265919,-0.009249962948858149,-1.3965284909852658
full_grid,1.8005,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20257779038594237,-0.7461180002951826,2.0269111005434555,0.21594622002667274,-0.009385478217671018,-1.4394496792150706
full_grid,1.867,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.2032057368326866,-0.7382769048355091,2.008710574681743,0.2168261056797519,-0.009496251797010004,-1.4820754957289424
full_grid,1.9335,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20384030638851214,-0.7307369388968004,1.989712129837148,0.21743256988077564,-0.009585113002337277,-1.5244291294877588
full_grid,2.0,0.8,0.04,-0.7,2.0,0.3,0.04,0.01,0.20448012692061812,-0.7234818405661072,1.9701410472489478,0.21779964478524638,-0.009654568832672763,-1.5665311987470083
full_grid,0.005,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18659167832317647,-1.027436783345522,0.9729230776063504,0.000848892620235478,0.009380601113779443,-0.005111201310554336
full_grid,0.07150000000000001,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18595191254644072,-0.9999993346208184,9.409687640541883e-05,1.1777077548975954e-06,0.009992258718669659,-0.07144885638638654
full_grid,0.138,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18529030605137287,-0.9997420359245918,0.02312109795758377,0.0005474338786642802,0.009837644331796533,-0.13778110834726565
full_grid,0.20450000000000002,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.184658665784881,-0.9976041415603812,0.15090278446403538,0.004893996948501983,0.009030468188932637,-0.20369086867160788
full_grid,0.271,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.18410371875924259,-0.9921680354827098,0.3842673343198246,0.015344677497568404,0.007578704237479987,-0.2685791717112837
full_grid,0.3375,0.8133333333333334,0.04,-0.7,2.0,0.3,0.04,0.01,0.1836578666446017,-0.9834511240312938,0.6678092329736458,0.031029123098599287,0.00579954255775578,-0.33194186353914323
